id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
32978,𐭀𐭓𐭉𐭁𐭓𐭆𐭍,𐭀𐭓𐭉𐭁𐭓𐭆𐭍,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32979,𐭀𐭓𐭔𐭊,𐭀𐭓𐭔𐭊,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32980,𐭀𐭓𐭕𐭇𐭔𐭕𐭓,𐭀𐭓𐭕𐭇𐭔𐭕𐭓,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32981,𐭁𐭂𐭃𐭕,𐭁𐭂𐭃𐭕,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32982,𐭅𐭓𐭅𐭃,𐭅𐭓𐭅𐭃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32983,𐭅𐭓𐭉𐭇𐭓𐭌,𐭅𐭓𐭉𐭇𐭓𐭌,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32984,𐭌𐭕𐭓𐭃𐭕,𐭌𐭕𐭓𐭃𐭕,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32985,𐭍𐭓𐭉𐭎𐭇𐭅,𐭍𐭓𐭉𐭎𐭇𐭅,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32986,𐭎𐭐𐭍𐭃𐭕,𐭎𐭐𐭍𐭃𐭕,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32987,𐭐𐭊𐭅𐭓,𐭐𐭊𐭅𐭓,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32988,𐭓𐭎𐭕𐭊,𐭓𐭎𐭕𐭊,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32989,𐭔𐭇𐭉𐭐𐭅𐭇𐭓,𐭔𐭇𐭉𐭐𐭅𐭇𐭓,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
32990,𐭕𐭉𐭓𐭉𐭃𐭕,𐭕𐭉𐭓𐭉𐭃𐭕,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xpr,Inscriptional_Parthian,Gender.male,Category:Parthian male given names
